id_country,Year,Score
90,2018,1.091
90,2019,0.472
90,2020,0.229
91,2010,0.458
91,2011,0.229
91,2012,0.059
91,2013,0.057
91,2014,0.01
91,2015,0
91,2016,2.447
91,2017,3.595
91,2018,2.926
91,2019,2.291
91,2020,2.014
92,2010,1.93
92,2011,1.198
92,2012,0.585
92,2013,1.93
92,2014,1.76
92,2015,1.751
92,2016,2.858
92,2017,3.788
92,2018,3.404
92,2019,3.091
92,2020,3.149
93,2010,0.663
93,2011,0.305
93,2012,2.804
93,2013,2.684
93,2014,2.37
93,2015,1.881
93,2016,0.934
93,2017,2.95
93,2018,2.228
93,2019,1.566
93,2020,0.901
94,2010,4.477
94,2011,4.647
94,2012,5.266
94,2013,5.764
94,2014,6.58
94,2015,6.66
94,2016,6.578
94,2017,6.169
94,2018,6.114
94,2019,5.756
94,2020,5.644
96,2010,0.095
96,2011,0
96,2012,0.158
96,2013,0.076
96,2014,0.04
96,2015,0.019
96,2016,4.449
96,2017,3.801
96,2018,3.126
96,2019,2.487
96,2020,1.795
97,2010,0.191
97,2011,0.537
97,2012,0.395
97,2013,0.191
97,2014,0.1
97,2015,1.722
97,2016,1.445
97,2017,1.989
97,2018,1.719
97,2019,1.467
97,2020,0.95
98,2010,0
98,2011,0
98,2012,0
98,2013,0.153
98,2014,0.08
98,2015,0.038
98,2016,0.695
98,2017,1.964
98,2018,1.675
98,2019,1.033
98,2020,0.439
99,2010,0
99,2011,0
99,2012,0
99,2013,0
99,2014,0
99,2015,0
99,2016,0
99,2017,0
99,2018,0.458
99,2019,0.229
99,2020,0.115
100,2010,5.193
100,2011,4.594
100,2012,4.483
100,2013,4.175
100,2014,6.4
100,2015,6.376
100,2016,6.068
100,2017,5.638
100,2018,5.154
100,2019,4.395
100,2020,3.661
101,2010,0.181
101,2011,0.091
101,2012,0.04
101,2013,0.019
101,2014,0.01
101,2015,0
101,2016,0.892
101,2017,0.384
101,2018,0.191
101,2019,0.095
101,2020,0.048
102,2010,0
102,2011,0
102,2012,0
102,2013,0.153
102,2014,0.08
102,2015,1.219
102,2016,0.25
102,2017,0.125
102,2018,0.21
102,2019,0.105
102,2020,0.191
103,2010,0.115
103,2011,0.057
103,2012,0.346
103,2013,4.461
103,2014,6.25
103,2015,7.29
103,2016,7.283
103,2017,7.256
