id_attacker_group,attacker_group
583,Baader-Meinhof Group
584,Baathist extremists
585,Bab Tajura Brigade
586,Baba Ladla Gang
587,Babbar Khalsa International (BKI)
588,Baby Liberation Army
589,Bachama extremists
590,Badr Brigades
591,Bahoz
592,Bahrain Province of the Islamic State
593,Bahujan Samaj Party
594,Balakhani Group
595,Baloch Liberation Army (BLA)
596,Baloch Liberation Front (BLF)
597,Baloch Liberation Tigers (BLT)
598,Baloch Militant Defense Army
599,Baloch Mussalah Diffah Tanzim (BMDT)
600,Baloch National Liberation Front
601,Baloch Nationalists
602,Baloch Raji Ajoi Sangar (BRAS)
603,Baloch Republican Army (BRA)
604,Baloch Republican Guards (BRG)
605,Baloch Republican Party
606,Baloch Waja Liberation Army (BWLA)
607,Baloch Young Tigers (BYT)
608,Balochistan Liberation United Front (BLUF)
609,Balochistan National Army
610,Bande des Rats (the rat pack) Ukranian Group
611,Bandits
612,Bangalee Somo Odhikar Andolon
613,Bangladesh Communist Party
614,Bangladesh National Socialist Party
615,Bangladesh Nationalist Party (BNP)
616,Bangladesh Road Transport Workers Federation
617,Bangladesh Sarbahara Party
618,Bangladesh Tiger Force
619,Bangsamoro Islamic Freedom Movement (BIFM)
620,Bangsamoro National Liberation Army
621,Bani Hilal Tribe
622,Bani Jaber tribe
623,Bani Nawaf tribe
624,Banner of Islam
625,Banya Tribe
626,Banyamulenge rebels
627,Barak Valley Tiger Force (BVTF)
628,Barisan Revolusi Nasional (BRN)
629,Barq al-Nasser Brigade
630,Barqa Province of the Islamic State
631,Barzani Guerrillas
632,Base Movement
633,Bashir al-Baqarah militia
634,Basic People's Congresses
635,Basque Country Autonomous Self-Defense Group
636,Basque extremists
637,Basque Fatherland and Freedom (ETA)
638,Basque guerrillas
639,Basque Justice
640,Basque Rectitudes
641,Basque Refugee Support Group
642,Basque Separatists
643,Basque terrorists
644,Bassa Kwomu extremists
645,Bastards & Blasphems
646,Bavarian Liberation Army
647,BAY Bombers
648,Baya Tribe
649,Bedouin Israeli extremists
650,Bedouin Movement (Sudan)
651,Bedouin tribesmen
652,Begumcans Cell
653,Beirut Martyrs Battalion
654,Beirut Martyrs Forces Organization
655,Beja Congress
656,Belarusian Liberation Army
657,Beli Orlovi (White Eagles)
658,Bengali Sangram Mukti Bahini
659,Bengali Tiger Force (BTF)
660,Benghazi Defense Brigades (BDB)
661,Benishangul Gumuz People's Liberation Movement
662,Berom Militants
663,Bersatu
664,Besi Merah Putih Militia
665,Bharat Zinc Workers
666,Bharatiya Janata Party
667,Bhinderanwale Tiger Force of Khalistan (BTHK)
668,Bhisan Himali Bag
669,Bhittani tribe
670,Bhumi Uchched Pratirodh Committee (BUPC)
671,Biafra Zionist Movement (BZM)
672,Bihar People's  Party (Hindu militants)
673,Bilal Badr Group
674,Bin Zabyan Tribesmen
675,Bini-Oru
676,Birsa Commando Force (BCF)
677,Biswabhumi Sena Bishal Nepal
678,Black African Vigilantes
679,Black Afro Militant Movement
680,Black American Moslems
681,Black and Red Anarchist and Anti-Authoritarians Initiative (Greece)
682,Black Berets
683,Black Brigade
684,Black Brigade (United States)
685,Black Cells
686,Black December
687,Black Eagles
688,Black extremists
689,Black Flag (Bandera Negra)
690,Black Forest Command
691,Black Friday
692,Black Hand
693,Black Hand (Colombia)
694,Black Hawks (Anti-Wahhabists)
695,Black Hebrew Israelites
696,Black Lebanon
697,Black Liberation Army
698,Black Liberation Force
699,Black Liberation Front
700,Black Malian Group
701,Black Mambas
702,Black March
703,Black Masked Winners (BMW)
704,Black Muslims
705,Black Nationalists
706,Black Order
707,Black Panther Group (Palestinian)
708,Black Panthers
709,Black Revolutionary Assault Team
710,Black September
711,Black September II
712,Black Star
713,Black Tigers
714,Black War
715,Black Wednesday
716,Black Widows
717,Bloque Anti-Guerrillero de Oriente (BAGO)
718,Blue Archer Group
719,Bodo Liberation Tigers (BLT)
720,Bodo Militants
721,Bodo People's Front (BPF)
722,Bodu Bala Sena
723,Bodyguards of Muslim Warlord Governor Tupay Loong
724,Boer Republikeinse Leer
725,Boer Sentries
726,Boere Aanvals Troepe (BAT)
727,Boko Haram
728,Bolivarian Army of Liberation
729,Bolivian Luminous Path
730,Bolivian Socialist Falange
731,Borana bandits
732,Borderless Solidarity Cell (BSC)
733,Boricua Revolutionary Front
734,Bosnian Croats
735,Bosnian refugee
736,Bosnian Serbs
737,Bougainville Revolutionary Army (BRA)
738,Boz-Ok (Grey Arrow)
739,Brazilian Anti-Communist Alliance (AAB)
740,Brazilian Democratic Mobilization Party (PMBD)
741,Brelvi Muslims
742,Breton Liberation Front (FLB)
743,Breton Separatists
744,Breton Terrorist
745,Brigadas Rojas
746,Brigade of al-Mukhtar al-Thaqafi
747,Brigades of Iman Hassan-al-Basri
748,Brigades of Imprisoned Sheikh Omar Abdel-Rahman
749,Broad Commando of National Liberation
750,Broad Front
751,Brother Julian
752,Bru Democratic Front of Mizoram (BDFM)
753,Bru National Liberation Front (BNLF)
754,Brunswijk Jungle Commando
755,Buddhist Monks
756,Budget for the Popular Prep or Death
757,Bunda Dia Kongo (BDK)
758,Burma Communist Party
759,Burmese Minority Group Pirates
760,Burmese refugees
761,BZers
762,Cali Narcotics Cartel
763,Cambodian Freedom Fighters (CFF)
764,Cambodian guerrillas
765,Cambodian Gunmen
766,Cambodian National Front for National Salvation
767,Cambodian People's Party (CPP)
768,Canary Islands Independence Movement
769,Cannibal Army
770,Caribbean Revolutionary Alliance (ARC)
771,Carlos Echeverria commando group
772,Carribbean Revolutionary Independence Army
773,Casamance Separatists
774,CasaPound
775,Caspian Group
776,Catalan independence group
777,Catalan Liberation Front (FAC)
778,Catalan Militia
779,Catalonian Resistance
780,Catholic E. Timurese
781,Catholic extremists
782,Catholic Reaction Force
783,Caucasus Emirate
784,Caucasus Province of the Islamic State
785,CCCCC
786,Cell for Internationalism
787,Cells for Solidarity Against Authority
788,Cells of Direct Attack - Living Waste Group
789,Cellula Haris Hatzimihelakis/Internazionale nera
790,Census Opponents
791,Central Africa Province of the Islamic State
792,Central African National Liberation Movement
793,Central American Movement of Solidarity (MOSCA)
794,Central American Revolutionary Workers Party (PRTC)
795,Central University students
796,Chakma tribal group
797,Chama Pueblo en Rebelion
798,Chaotic Harmony
799,Charles Martel Group
800,Charlot Jacquelin Militant Front
801,Chavistas
802,Che Guevara Brigade
803,Che Guevara Guerrillas
804,Chechen Lone Wolf Group
805,Chechen Rebels
806,Chicano Liberation Front
807,Chicano Radicals
808,Children of November
809,Chilean Anti-Communist Alliance (ACHA)
810,Chilean Committee of Support for the Peruvian Revolution
811,Chin National Army
812,Chinese Illegal Immigrant
813,Chinese Mafia
814,Chinese Pirates
815,Chondaehyop (Radical Student Coalition)
816,Chonson Univ. students
817,Christ Chaos
818,Christian extremists
819,Christian Group for the Respect for Life
820,Christian Liberation Army
821,Christian Palestinian group
822,Christian State-Holy Rus
823,Chukakuha (Middle Core Faction)
824,Chukakuha Revolutionary Army
825,Cinchoneros Popular Liberation Movement
826,Citizen's Rights Protection Volunteers
827,Citizens for Constitutional Freedom
828,Citizens Volunteer Force
829,Civic Guard
830,Civic United Front (CUF)
831,"Civil Association for Peace in Colombia, Asocipaz"
832,Civil Cooperation Bureau
833,Civil Defense Force (CDF)
834,Civil Protection Units (YPS)
835,Civil Servants and Unionists
836,Civil War Veterans
837,Civilian Defense
838,Civilian Joint Task Force (JTF)
839,Civilians Seeking Revenge
840,Clandestini Corsi
841,Cleansing Hand (La Mano Que Limpia)
842,Cleansing Squad
843,Coalition for Unity and Democracy (CUD)
844,Coalition of National Brigades
845,Coalition to Save the Preserves (CSP)
846,Coca Farmers
847,Colombia Without Guerrillas
848,Colombian Guerrillas
849,Colombian Patriotic Resistance
850,Colombian Revolution
851,Colombians
852,Colonel Albert Kahasha Militia
853,Colonel Karuna Faction
854,Columbia PM
855,Column 88
856,Comando Autónomo Voltaire Argandoña
857,Comando Bautista B
858,Comando Independiente Revolucionario
859,Comando Malvinas Argentinas
860,Comando Vermelho (Red Command)
861,Combat 18
862,Combat Brigades
863,Combat Nucleus of Communist Unity
864,Combat Territory Groups
865,Combatant Communist Front
866,Combatant Nucleus for Communism
867,Combatent Communists
868,Comite Argentino de Lucha Anti-Imperialisto
869,Comite d'Action Viticole
870,Comite de Liberation et de Detournements d'Ordinateurs (Committee for the liberation and hijacking of computers)
871,Command for National Sovereignty
